,,,,,,,Event Attributes,,,,,,,,,,,,,,,,,,,,,
Event Id,Release version,Priority,Dev done,QA verified,Tags,Environment,User Action,Page Name,Page Description,Page Id,Event Name,Event Linking Keys,pdata.id,pdata.ver,pdata.pid,edata.type,edata.subtype,edata.id,edata.pageid,env,edata.extra.values,context.cdata,"object.id
CP-VIDEO4,,,,,,,When opens  the side menu,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,open_menu,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649658687666,""ver"":""3.0"",""mid"":""INTERACT:634cb24d355db8353b4b0b722417bbb4"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""open_menu"",""pageid"":""videostage""}}",
,,,,,,,When closes the side menu,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,close_menu,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649658693062,""ver"":""3.0"",""mid"":""INTERACT:bdaa991fceac8aa3668f9d3037e18be7"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""close_menu"",""pageid"":""videostage""}}",
CP-VIDEO5,,,,,,,When clicked on volume change,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,volume_change,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649658679952,""ver"":""3.0"",""mid"":""INTERACT:ad514d86156c7cb0f725262a2c56eb9c"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""volume_change"",""pageid"":""videostage""}}",
CP-VIDEO6,,,,,,,When clicked on pause button/icon,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,pause,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649658654216,""ver"":""3.0"",""mid"":""INTERACT:a2a5769c8266da34196e913b64d84c56"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""pause"",""pageid"":""videostage""}}",
CP-VIDEO7,,,,,,,When clicked on rate change of video,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,rate_change,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649658983365,""ver"":""3.0"",""mid"":""INTERACT:3a61a543db4eb7a33e21393d41fd234c"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""rate_change"",""pageid"":""videostage""}}",
CP-VIDEO8,,,,,,,When clicked on fullscreen,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,fullscreen,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649660015574,""ver"":""3.0"",""mid"":""INTERACT:9331db255c4cae2aee5ada2777bb00bd"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""fullscreen"",""pageid"":""videostage""}}",
CP-VIDEO9,,,,,,,When dragged the video progress bar,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,drag,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649659974001,""ver"":""3.0"",""mid"":""INTERACT:8a08155a5507780c9b4128fcd4d47e3d"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""drag"",""pageid"":""videostage""}}",
CP-VIDEO10,,,,,,,When clicked on download option in side menu,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,download_menu,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649661727958,""ver"":""3.0"",""mid"":""INTERACT:80f0ebebf742c5ff163f18cdaa060564"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""download_menu"",""pageid"":""videostage""}}",
CP-VIDEO11,,,,,,,When clicked on cancel in  download pop up ,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,download_popup_cancel,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649661730170,""ver"":""3.0"",""mid"":""INTERACT:802ada6de57f7c53c28e84cab8c779ff"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""download_popup_cancel"",""pageid"":""videostage""}}",
CP-VIDEO12,,,,,,,When clicked on download option in pop up,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,download,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649661732639,""ver"":""3.0"",""mid"":""INTERACT:d7cd2735732a5020bb5a813cc4461bf6"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""download"",""pageid"":""videostage""}}",
CP-VIDEO13,,,,,,,When clicked on close download pop button,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,download_popup_close,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649661741052,""ver"":""3.0"",""mid"":""INTERACT:d6f8a2524a37b92ac22634ba4f96596b"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""download_popup_close"",""pageid"":""videostage""}}",
CP-VIDEO14,,,,,,,When clicked on share option in side menu,,,,INTERACT,,staging.sunbird.portal,4.8.5,sunbird-portal,,TOUCH,share,videostage,contentplayer,,"[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""GKnGaG9gxLzAD74wWecQrmE2ASuBIOOS"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}]",do_21310293073523507214565,Content,1,This event is used to get user interaction in player,"{""eid"":""INTERACT"",""ets"":1649661722938,""ver"":""3.0"",""mid"":""INTERACT:43807a84ffc6d1061a38611d432bbec5"",""actor"":{""id"":""632995e29874caa57949ce954e6b5d4a"",""type"":""User""},""context"":{""channel"":""01268904781886259221"",""pdata"":{""id"":""staging.sunbird.portal"",""ver"":""4.8.5"",""pid"":""sunbird-portal""},""env"":""contentplayer"",""sid"":""dbc79137-c97e-d723-e39e-dbe3702f9a2f"",""did"":""632995e29874caa57949ce954e6b5d4a"",""cdata"":[{""id"":""HNBq6Zoz7uUhhWQJm7e40ya2MKQZ5W7S"",""type"":""ContentSession""},{""id"":""SHkx2ANJivSN3LbqJpsAvqUGk1Vn8GJE"",""type"":""PlaySession""},{""id"":""2.0"",""type"":""PlayerVersion""}],""rollup"":{""l1"":""01268904781886259221""},""uid"":""anonymous""},""object"":{""id"":""do_21310293073523507214565"",""ver"":""1"",""type"":""Content"",""rollup"":{""l1"":""do_21310293073523507214565""}},""tags"":[""01268904781886259221""],""edata"":{""type"":""TOUCH"",""subtype"":"""",""id"":""share"",""pageid"":""videostage""}}",
